173-22: Mittleres Alter (Durchschnitt und Median) der Bevölkerung
Gebietsschlüssel;Gebietseinheit;Zeit;Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1);Mittleres Alter der Bevölkerung in Jahren 1)
;;;Durchschnitt 2);Durchschnitt 2);Durchschnitt 2);Durchschnitt 2);Durchschnitt 2);Median 3);Median 3);Median 3);Median 3);Median 3)
;;;insgesamt;männlich;weiblich;deutsch;ausländisch;insgesamt;männlich;weiblich;deutsch;ausländisch
04;Land Bremen;2013-12-31;44,0;42,4;45,6;44,9;38,1;43,6;41,9;45,3;45,2;35,7
04011;Stadt Bremen;2013-12-31;43,9;42,3;45,5;44,8;38,0;43,4;41,8;45,0;45,0;35,4
040111;Mitte (Stadtbezirk);2013-12-31;41,8;40,8;42,8;42,5;38,2;37,3;36,9;37,9;38,6;34,4
0401111;Mitte (Stadtteil);2013-12-31;41,7;40,8;42,8;42,5;38,2;37,2;36,8;37,9;38,5;34,5
04011111;Altstadt (Ortsteil);2013-12-31;41,7;41,1;42,5;42,8;38,6;36,8;37,2;35,8;37,7;35,4
04011112;Bahnhofsvorstadt (Ortsteil);2013-12-31;41,4;39,9;43,2;42,5;37,0;34,5;34,2;35,0;35,0;33,5
04011113;Ostertor (Ortsteil);2013-12-31;41,9;41,2;42,6;42,3;39,3;39,3;38,7;40,1;40,6;34,7
0401112;Häfen (Stadtteil);2013-12-31;45,3;45,4;45,2;49,5;37,0;43,5;44,0;42,0;51,5;32,5
04011121;Handelshäfen (Ortsteil);2013-12-31;x;x;x;x;x;x;x;x;x;x
04011122;Industriehäfen (Ortsteil);2013-12-31;48,4;47,4;50,8;48,6;47,9;48,5;47,0;48,5;50,5;42,5
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2013-12-31;54,1;.;.;54,1;.;53,5;.;.;53,5;.
04011124;Neustädter Häfen (Ortsteil);2013-12-31;.;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2013-12-31;39,8;40,6;38,2;49,3;28,7;34,0;34,2;28,5;51,5;27,4
040112;Süd (Stadtbezirk);2013-12-31;43,4;41,8;44,9;44,2;37,9;42,4;40,8;44,1;44,1;35,2
0401121;Neustadt (Stadtteil);2013-12-31;41,1;39,7;42,5;41,7;37,7;36,9;35,8;38,5;38,0;33,7
04011211;Alte Neustadt (Ortsteil);2013-12-31;41,9;40,3;43,6;42,7;37,4;35,0;34,6;35,9;35,7;32,9
04011212;Hohentor (Ortsteil);2013-12-31;38,5;38,2;38,9;38,9;36,6;32,3;32,7;31,8;32,2;32,7
04011213;Neustadt (Ortsteil);2013-12-31;40,4;39,2;41,4;40,6;38,3;37,1;35,9;38,4;37,9;33,4
04011214;Südervorstadt (Ortsteil);2013-12-31;40,2;39,1;41,3;40,7;37,8;35,4;34,8;36,3;36,3;33,0
04011215;Gartenstadt Süd (Ortsteil);2013-12-31;44,3;41,4;46,9;44,9;40,0;42,7;38,9;45,5;43,8;37,0
04011216;Buntentor (Ortsteil);2013-12-31;40,5;39,4;41,6;40,8;37,7;37,0;36,0;38,3;37,5;34,1
04011217;Neuenland (Ortsteil);2013-12-31;43,9;42,0;46,2;45,2;39,9;42,0;40,1;44,4;44,0;37,9
04011218;Huckelriede (Ortsteil);2013-12-31;41,3;39,8;42,9;42,4;36,8;39,0;37,6;40,7;41,1;33,2
