173-55: Bevölkerung nach Migrationsstatus, Geschlecht und Altersgruppen
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
;;;;insgesamt;insgesamt;davon;davon;davon;davon;davon;davon
;;;;;;Ausländer;Ausländer;Eingebürgerte 2);Eingebürgerte 2);Aussiedler 3);Aussiedler 3)
;;;;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich;insgesamt;weiblich
04011;Stadt Bremen;2013-12-31;unter 6;14196;6819;2598;1215;8472;4078;3126;1526;12262;5966
04011;Stadt Bremen;2013-12-31;6 - 15;19341;9340;4135;1962;12423;6027;2783;1351;20703;9821
04011;Stadt Bremen;2013-12-31;15 - 18;6285;2946;2449;1163;3051;1407;785;376;8891;4238
04011;Stadt Bremen;2013-12-31;18 - 25;16013;7865;8060;3887;5812;2880;2141;1098;32088;16240
04011;Stadt Bremen;2013-12-31;25 - 30;14771;7088;7695;3644;4395;2141;2681;1303;26169;13041
04011;Stadt Bremen;2013-12-31;30 - 50;51274;25151;28120;13844;15994;7698;7160;3609;101820;49642
04011;Stadt Bremen;2013-12-31;50 - 65;24912;12577;10553;5269;8327;4132;6032;3176;84089;43023
04011;Stadt Bremen;2013-12-31;65 oder mehr;15527;8215;6678;3090;4400;2456;4449;2669;100206;58954
04011;Stadt Bremen;2013-12-31;Insgesamt;162319;80001;70288;34074;62874;30819;29157;15108;386228;200925
040111;Mitte (Stadtbezirk);2013-12-31;unter 6;286;134;69;32;193;92;24;10;319;156
040111;Mitte (Stadtbezirk);2013-12-31;6 - 15;266;141;72;39;180;96;14;6;327;152
040111;Mitte (Stadtbezirk);2013-12-31;15 - 18;100;46;47;22;44;19;9;5;126;60
040111;Mitte (Stadtbezirk);2013-12-31;18 - 25;538;256;312;135;185;104;41;17;1487;808
040111;Mitte (Stadtbezirk);2013-12-31;25 - 30;806;354;522;219;191;81;93;54;1605;759
040111;Mitte (Stadtbezirk);2013-12-31;30 - 50;2053;821;1445;535;486;225;122;61;3909;1641
040111;Mitte (Stadtbezirk);2013-12-31;50 - 65;725;294;478;181;206;92;41;21;2453;1225
040111;Mitte (Stadtbezirk);2013-12-31;65 oder mehr;391;187;198;83;124;62;69;42;2246;1286
040111;Mitte (Stadtbezirk);2013-12-31;Insgesamt;5165;2233;3143;1246;1609;771;413;216;12472;6087
0401111;Mitte (Stadtteil);2013-12-31;unter 6;285;133;68;31;193;92;24;10;319;156
0401111;Mitte (Stadtteil);2013-12-31;6 - 15;266;141;72;39;180;96;14;6;326;151
0401111;Mitte (Stadtteil);2013-12-31;15 - 18;100;46;47;22;44;19;9;5;124;60
0401111;Mitte (Stadtteil);2013-12-31;18 - 25;531;253;305;132;185;104;41;17;1483;807
0401111;Mitte (Stadtteil);2013-12-31;25 - 30;797;351;513;216;191;81;93;54;1602;758
0401111;Mitte (Stadtteil);2013-12-31;30 - 50;2035;818;1427;532;486;225;122;61;3883;1631
0401111;Mitte (Stadtteil);2013-12-31;50 - 65;719;292;474;180;204;91;41;21;2418;1215
0401111;Mitte (Stadtteil);2013-12-31;65 oder mehr;387;186;194;82;124;62;69;42;2232;1280
0401111;Mitte (Stadtteil);2013-12-31;Insgesamt;5120;2220;3100;1234;1607;770;413;216;12387;6058
04011111;Altstadt (Ortsteil);2013-12-31;unter 6;42;15;16;6;23;8;3;1;40;14
04011111;Altstadt (Ortsteil);2013-12-31;6 - 15;40;19;18;10;19;9;3;0;33;11
04011111;Altstadt (Ortsteil);2013-12-31;15 - 18;36;18;21;7;13;9;2;2;11;6
04011111;Altstadt (Ortsteil);2013-12-31;18 - 25;137;68;74;32;54;30;9;6;332;187
04011111;Altstadt (Ortsteil);2013-12-31;25 - 30;208;90;153;58;38;21;17;11;330;137
04011111;Altstadt (Ortsteil);2013-12-31;30 - 50;603;196;480;138;97;46;26;12;648;234
04011111;Altstadt (Ortsteil);2013-12-31;50 - 65;216;68;148;39;53;21;15;8;388;175
04011111;Altstadt (Ortsteil);2013-12-31;65 oder mehr;83;39;47;21;25;13;11;5;449;244
04011111;Altstadt (Ortsteil);2013-12-31;Insgesamt;1365;513;957;311;322;157;86;45;2231;1008
