173-97: Vorausschätzung: Natürliche und räumliche Bevölkerungsbewegungen sowie Durchschnittsalter nach Geschlecht
Gebietsschlüssel;Gebietseinheit;Zeit;Geschlecht;Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1);Komponenten der Bevölkerungsprognose 1)
;;;;Lebendgeborene;Gestorbene;natürlicher Saldo;Zuzüge 2);Fortzüge 2);Wanderungssaldo;Gesamtsaldo;Bevölkerung am 31.12.;Durchschnittsalter (in Jahren)
04;Land Bremen;2030;Männlich;2685;4018;-1333;.;.;854;-479;322684;44,5
04;Land Bremen;2030;Weiblich;2535;3989;-1454;.;.;606;-848;327775;47,1
04;Land Bremen;2030;Insgesamt;5220;8007;-2787;.;.;1460;-1327;650458;45,8
04011;Stadt Bremen;2030;Männlich;2251;3244;-993;30954;30297;657;-336;270024;44,4
04011;Stadt Bremen;2030;Weiblich;2125;3312;-1187;27975;27388;587;-599;275863;47,0
04011;Stadt Bremen;2030;Insgesamt;4377;6556;-2180;58929;57685;1244;-935;545886;45,7
040111;Mitte (Stadtbezirk);2030;Männlich;69;90;-21;1915;1919;-4;-25;9352;43,0
040111;Mitte (Stadtbezirk);2030;Weiblich;66;95;-30;1402;1398;5;-25;8096;45,0
040111;Mitte (Stadtbezirk);2030;Insgesamt;135;186;-51;3317;3317;0;-50;17447;43,9
0401111;Mitte (Stadtteil);2030;Männlich;69;89;-20;1898;1903;-5;-25;9264;42,9
0401111;Mitte (Stadtteil);2030;Weiblich;65;95;-30;1395;1390;5;-25;8044;45,0
0401111;Mitte (Stadtteil);2030;Insgesamt;134;184;-50;3293;3293;0;-50;17307;43,9
04011111;Altstadt (Ortsteil);2030;Männlich;12;16;-3;548;550;-3;-6;2159;42,9
04011111;Altstadt (Ortsteil);2030;Weiblich;12;10;1;318;325;-7;-6;1417;43,2
04011111;Altstadt (Ortsteil);2030;Insgesamt;24;26;-2;866;876;-10;-12;3575;43,1
04011112;Bahnhofsvorstadt (Ortsteil);2030;Männlich;24;33;-9;710;711;-1;-9;2890;41,0
04011112;Bahnhofsvorstadt (Ortsteil);2030;Weiblich;23;38;-16;488;480;7;-8;2389;43,7
04011112;Bahnhofsvorstadt (Ortsteil);2030;Insgesamt;47;71;-24;1198;1191;7;-18;5279;42,2
04011113;Ostertor (Ortsteil);2030;Männlich;33;41;-8;640;642;-2;-10;4215;44,3
04011113;Ostertor (Ortsteil);2030;Weiblich;31;46;-15;589;585;5;-11;4239;46,2
04011113;Ostertor (Ortsteil);2030;Insgesamt;64;87;-23;1230;1227;3;-21;8453;45,2
0401112;Häfen (Stadtteil);2030;Männlich;0;1;-1;17;16;1;0;88;49,2
0401112;Häfen (Stadtteil);2030;Weiblich;0;0;0;7;7;0;0;52;45,8
0401112;Häfen (Stadtteil);2030;Insgesamt;1;2;-1;24;23;1;0;140;47,9
04011121;Handelshäfen (Ortsteil);2030;Männlich;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2030;Weiblich;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2030;Insgesamt;x;x;x;x;x;x;x;x;x
04011122;Industriehäfen (Ortsteil);2030;Männlich;0;1;0;11;11;0;0;42;47,2
04011122;Industriehäfen (Ortsteil);2030;Weiblich;0;0;0;3;4;0;0;25;48,3
04011122;Industriehäfen (Ortsteil);2030;Insgesamt;1;1;0;15;14;0;0;67;47,6
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2030;Männlich;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2030;Weiblich;.;.;.;.;.;.;.;.;.
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2030;Insgesamt;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2030;Männlich;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2030;Weiblich;.;.;.;.;.;.;.;.;.
04011124;Neustädter Häfen (Ortsteil);2030;Insgesamt;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2030;Männlich;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2030;Weiblich;.;.;.;.;.;.;.;.;.
04011125;Hohentorshafen (Ortsteil);2030;Insgesamt;.;.;.;.;.;.;.;.;.
040112;Süd (Stadtbezirk);2030;Männlich;520;704;-184;7339;7231;108;-76;61378;43,8
040112;Süd (Stadtbezirk);2030;Weiblich;491;726;-235;6447;6344;103;-132;62392;46,4
040112;Süd (Stadtbezirk);2030;Insgesamt;1011;1430;-420;13786;13575;211;-209;123770;45,1
